FoodID,Food Item,Edible part,Ref,Water,Ref,Kilojoules,Ref,Kilocalories,Ref,Fat,Ref,SatFa,Ref,TransFa,Ref,MuFa,Ref,PuFa,Ref,Cholesterol,Ref,Carbo,Ref,Starch,Ref,Mono+Di,Ref,Sugar,Ref,Dietary fibre,Ref,Protein,Ref,Salt,Ref,Alcohol,Ref,Retinol,Ref,Beta-carotene,Ref,Vitamin A,Ref,Vitamin D,Ref,Vitamin E,Ref,Thiamin,Ref,Riboflavin,Ref,Niacin,Ref,Vitamin B6,Ref,Folate,Ref,Vitamin B12,Ref,Vitamin C,Ref,Calcium,Ref,Iron,Ref,Sodium,Ref,Potassium,Ref,Magnesium,Ref,Zinc,Ref,Selenium,Ref,Copper,Ref,Phosphorus,Ref,Iodine,Ref
,Abbreviations: M = Missing value. Ref = Reference,%,,g,,kJ,,kcal,,g,,g,,g,,g,,g,,mg,,g,,g,,g,,g,,g,,g,,g,,g,,µg,,µg,,RAE,,µg,,alfa-TE,,mg,,mg,,mg,,mg,,µg,,µg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,µg,,mg,,mg,,µg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Milk and milk products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,Milk and milk based beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.083,"Milk, whole milk cultured, Kulturmelk",100,0,88,117,254,60a,61,60b,3.5,73b,2.3,73h,0.1,73h,0.8,73h,0.1,73h,9,66a,4,63,0,10,4,73b,0,73c,0,10,3.3,73b,0.1,69,0,10,32,117,22,117,34,61,0,73g,0.1,117,0.05,73b,0.15,73b,0.1,73b,0.04,117,11,67,0.2,73b,0,117,116,73b,0.1,73b,37,73b,153,117,10,117,0.4,117,1,117,0.02,117,90,73b,19,76
01.084,"Milk, whole milk cultured, Kefir",100,0,88,117,254,60a,61,60b,3.5,73b,2.3,73h,0.1,73h,0.8,73h,0.1,73h,9,66a,4,63,0,10,4,73b,0,73c,0,10,3.3,73b,0.1,69,0,10,32,117,22,117,34,61,0,73g,0.1,117,0.05,73b,0.16,73b,0.1,117,0.04,117,11,67,0.2,73b,0,117,116,73b,0.1,73b,36,73b,149,117,10,117,0.4,117,1,117,0,30,90,73b,19,76
01.085,"Milk, skimmed cultured, Skummet kulturmelk",100,0,92,117,139,60a,33,60b,0.4,73b,0.3,73h,0,73h,0.1,73h,0,73h,1,66a,4.1,63,0,10,4.1,117,0,117,0,10,3.2,73b,0.1,69,0,10,1,117,1,117,1,61,0,73g,0,50,0.05,73b,0.15,73b,0.1,73b,0.04,117,9,117,0.2,73b,0,117,115,73b,0,73b,38,73b,156,117,11,117,0.4,117,1,117,0,30,90,73b,19,76
01.099,"Milk, cultured, pear, Cultura",100,0,84,117,303,60a,72,60b,1.4,73b,0.9,73h,0,73h,0.3,73h,0,73h,4,66a,11.8,63,0,10,11.8,73b,5.4,73c,0,10,3,73b,0.1,69,0,10,12,117,8,117,13,61,0,73g,0,117,0.03,73b,0.13,73b,0.1,73b,0.04,51,4,117,0.2,73b,0,117,100,73b,0.1,73b,34,73b,151,117,10,117,0.3,117,1,117,0.01,117,80,73b,16,76
01.104,"Milk shake, strawberry flavour",100,0,83,117,305,60a,72,60b,1.4,117,0.9,73h,0,73h,0.3,73h,0,73h,4,66a,11,63,0.4,10,10.6,117,4.5,117,0,10,3.9,117,0.1,69,0,10,11,117,11,117,12,61,0,73g,0,117,0.04,117,0.14,117,0.1,117,0.04,51,5,51,0.1,50,0,117,109,51,0,117,40,117,157,117,13,117,0.4,117,1,117,0.01,117,88,117,18,76
01.109,"Milk, for coffee, 3,5 % fat",100,0,86,117,260,60a,62,60b,3.5,76,2.3,76,0.1,50,0.9,50,0.1,50,10,66a,4.4,63,0,10,4.4,76,0,73d,0,10,3.3,76,0.1,69,0,10,36,117,25,117,38,61,0,73g,0.1,117,0.05,73b,0.15,73d,0.1,73b,0.04,50,5,50,0.5,73b,0,117,134,76,0,73b,40,73d,171,76,11,117,0.4,117,1,117,0.02,117,115,76,19,76
01.118,"Milk, 1,2 % fat, lactose reduced",100,0,90,51,180,60a,43,60b,1.2,76,0.7,76,0,50,0.3,50,0,50,4,66a,4.7,63,0,10,4.7,76,0,73c,0,10,3.3,76,0.1,69,0,10,13,117,13,117,14,61,0.4,73c,0,117,0.04,73b,0.15,76,0.1,117,0.03,51,5,51,0.5,73b,0,117,134,76,0,117,40,76,171,76,8,117,0.4,117,1,117,0.02,117,115,76,19,76
01.119,"Milk, 1,2 % fat, UHT-treated",100,0,90,51,180,60a,43,60b,1.2,76,0.7,76,0,50,0.3,50,0,50,4,66a,4.7,63,0,10,4.7,76,0,73c,0,10,3.3,73b,0.1,69,0,10,13,117,13,117,14,61,0,73g,0,117,0.04,117,0.15,76,0.1,117,0.03,117,5,51,0.5,76,0,117,134,76,0,117,39,117,171,76,8,117,0.4,117,1,117,0.02,117,115,76,19,76
01.120,"Milk, cultured, strawberry, D-vitamin",100,0,84,117,291,60a,69,60b,1.4,73d,0.9,73h,0,73h,0.3,73h,0,73h,4,66a,11.1,63,0,10,11.1,73d,6,73d,0,10,3,73d,0.1,69,0,10,11,117,11,117,12,61,0.4,73g,0,117,0.03,73d,0.13,73d,0.1,73d,0.04,117,4,117,0.2,73d,0,117,100,73d,0.1,117,34,117,151,117,10,117,0.3,117,1,117,0.01,117,80,73d,16,76
01.127,"Milk beverage, with flavour, Litago",100,0,85,117,256,60a,61,60b,1.4,73d,0.9,73h,0,73h,0.3,73h,0,73h,4,66a,8.8,63,0,50,8.8,73d,4,73d,0,50,3.2,73d,0.1,69,0,10,20,117,14,117,21,61,0,73g,0,117,0.03,117,0.14,117,0.2,117,0.04,51,5,51,0.5,51,0,117,95,73d,0.3,117,32,117,178,117,18,117,0.4,117,1,50,0.04,117,91,117,18,76
